feature,phase,family,cohens_d,abs_d,r_pb,r_cont_est,r_pearson,p_pearson,rho_spearman,p_spearman,p_ttest,view,target,q_fdr_pearson,q_fdr_ttest,sig_fdr_05
1-LEFT-ARM-ANGLE,1,LEFT-ARM-ANGLE,-0.39580083674089284,0.39580083674089284,-0.19489922612089924,-0.24426995544917343,-0.17227627505708526,1.7967318930604344e-05,-0.21510565157834496,7.532809812169113e-08,0.0021520446745842236,FACEON,AbsSpin,7.806490293986715e-05,0.005959508329617851,1
1-RIGHT-ARM-ANGLE,1,RIGHT-ARM-ANGLE,-0.3139278904930636,0.3139278904930636,-0.15568421862184811,-0.1951212321556793,-0.10356692184310143,0.0102918624203449,-0.05613468603694327,0.16511041694012724,0.01465367165492233,FACEON,AbsSpin,0.027590950318371436,0.03483703072679648,1
1-SHOULDER-LOC,1,SHOULDER-LOC,-0.34629853469500393,0.34629853469500393,-0.17128800800593905,-0.21467768198645398,-0.20576848296532743,2.820326072237725e-07,0.06896029786259114,0.08828297451979562,0.007418192902505477,FACEON,AbsSpin,2.0306347720111622e-06,0.018508758529023568,1
2-HEAD-LOC,2,HEAD-LOC,0.1523569072927073,0.1523569072927073,0.07626723937982242,0.09558680932875688,0.027657269722933732,0.49429414972583874,0.03492194128660999,0.3880686517482558,0.2341853608170037,FACEON,AbsSpin,0.6640000031692949,0.35980985297209656,0
2-HIP-ROTATION,2,HIP-ROTATION,0.07459647478810061,0.07459647478810061,0.03742455113867659,0.04690471902479027,0.020204647283223885,0.6175867204099021,0.06434664520066084,0.11148674522115884,0.5590921270320008,FACEON,AbsSpin,0.7629012428592908,0.676461210556812,0
2-HIP-SHIFTED,2,HIP-SHIFTED,0.0809213117775045,0.0809213117775045,0.040675613165894624,0.05097932102479222,0.04945998784655033,0.22215562251913235,-0.22846575946122896,1.1201469355955922e-08,0.5268757641282842,FACEON,AbsSpin,0.3611820443536861,0.6712592604263142,0
2-LEFT-ARM-ANGLE,2,LEFT-ARM-ANGLE,-0.7262977817546099,0.7262977817546099,-0.3424435794158351,-0.42918937931478934,-0.3282746371489489,7.646390814484386e-17,-0.38974038811162104,1.2336149259824746e-23,3.979405294817154e-08,FACEON,AbsSpin,2.4086131065625813e-15,3.7141116084960103e-07,1
2-SHOULDER-LOC,2,SHOULDER-LOC,-0.35401351912112955,0.35401351912112955,-0.17527050702072458,-0.21966900430352976,-0.1774016591777044,1.0282632750939463e-05,0.0433500381337553,0.28468552382658396,0.006231350333571328,FACEON,AbsSpin,5.182446906473489e-05,0.015861619030908835,1
2-UPPER-TILT,2,UPPER-TILT,0.1929854482568984,0.1929854482568984,0.09643580693583348,0.12086436017610827,0.052518793017431654,0.19409961505156093,0.07146781380857113,0.07704255721211661,0.13149822257570082,FACEON,AbsSpin,0.32217881632537676,0.22798082051973453,0
3-HEAD-LOC,3,HEAD-LOC,0.02341443218414038,0.02341443218414038,0.01177435368839709,0.014756963935420976,0.005313343910277794,0.8956352360292891,-0.0770519924129065,0.05676746364615899,0.8546183767349552,FACEON,AbsSpin,0.9250003257351673,0.8994996252193854,0
